Year,PERIODO ,SUCRE,LA PAZ,COCHABAMBA,ORURO,TARIJA,SANTA CRUZ ,TRINIDAD,COBIJA,EL ALTO ,SUCRE
1995,Noviembre,16.1,13.1,20.5,11.9,20.6,26.9,28.4,27.2,12.5,16.1
1995,Diciembre,15.3,12.2,19.3,11.2,20.4,26.7,27.6,26.8,8.5,15.3
1996,Enero ,14.4,12,19,11.3,20.6,25.8,27.5,25.8,8.7,14.4
1996,Febrero,15.1,12.4,19.1,12,21.1,25.8,27,26.3,8.7,15.1
1996,Marzo,14.4,12.8,18.5,11.4,19.2,26.6,27.5,26.3,8.9,14.4
1996,Abril,14.6,12.2,18.5,10.3,18.8,24.5,24.6,25.8,8.1,14.6
1996,Mayo,12.9,11.4,16.6,6,16.2,22.8,23.6,25.8,6.8,12.9
1996,Junio,11.2,9.6,13.4,2.5,11.6,18,24,22.1,5.1,11.2
1996,Julio,10.9,9.1,13.2,2.9,12.3,20.6,24.3,23.9,4.7,10.9
1996,Agosto,13.2,10.2,16,5.5,16,24,24.5,21.2,5.9,13.2
1996,Septiembre,13.6,11.4,17.6,7.8,16,23.6,25.9,25.8,6.8,13.6
1996,Octubre,16.1,12.9,20,10.1,19,24.6,27.3,26.4,8.7,16.1
1996,Noviembre,15.4,12.4,19.4,11.1,20.4,25.6,,26.6,8.3,15.4
1996,Diciembre,14.4,11.7,19.2,11.3,20.2,25.1,26.8,26.6,7.9,14.4
1997,Enero ,14.8,12.1,18.3,11.5,20.9,27.3,26.7,26.8,8.7,14.8
1997,Febrero,14.6,11.2,18,11.3,20.9,25.2,,25.7,7.9,14.6
1997,Marzo,13.2,10.9,17.2,10.3,18.8,26.3,27,,7.4,
1997,Abril,13.2,11.4,17,8.2,17.9,24.5,26,25.8,6.3,13.2
1997,Mayo,11.5,10.8,15.1,4.2,15.2,22.4,25,24.9,5.3,11.5
1997,Junio,11.6,10.6,13.7,2.2,14.1,21.3,21.3,24.9,,11.6
1997,Julio,12.3,11.1,14.5,3.8,15.8,23.3,22.8,25.1,5.2,12.3
1997,Agosto,12.5,10.7,15.1,5.3,15.9,23.5,26.1,24.7,5.5,12.5
1997,Septiembre,15.6,12.4,18.4,8.9,20.4,27.4,25.2,27.7,7.8,15.6
1997,Octubre,16.3,14,20.2,10.4,20.6,27.7,26.3,27.6,8.7,16.3
1997,Noviembre,15.8,14.2,21.1,12.4,21.1,27.4,26.8,27,9.4,15.8
1997,Diciembre,18.3,15.8,22.1,12.9,,27.5,26.8,26.9,11,18.3
1998,Enero ,18.4,15.3,22.3,13.9,22.8,28.4,26.9,26.5,11.2,18.4
1998,Febrero,16.8,15,20.8,13.5,21,26.8,22.4,26.5,10.6,16.8
1998,Marzo,16.1,15.1,21.1,13.1,,26,26.8,26.2,10.2,16.1
1998,Abril,15.5,14.2,19.4,10.2,19.2,25.8,26.4,25.8,8.8,15.5
1998,Mayo,13.5,12.6,16.1,6.5,14.6,22.4,24.4,22.7,5.8,13.5
1998,Junio,12.7,10.8,13.8,5.3,14.6,21.5,23.8,22.3,5.5,12.7
1998,Julio,12.6,11,14.6,5,,23.2,24.2,23.7,5,12.6
1998,Agosto,13.4,12.1,16.4,5.8,15.1,22.3,,,,
1998,Septiembre,14.5,13.1,17.7,7.8,15.4,22.9,,,,
1998,Octubre,14.7,13.4,19.2,10.3,18.6,25.4,28.1,25.8,8.6,14.7
1998,Noviembre,15.5,13.7,19.6,10.9,20.5,26.4,27.8,25.3,8.6,15.5
1998,Diciembre,15.9,14.5,20.6,13.5,19.8,26.2,26.1,25.1,10.1,15.9
1999,Enero ,14.7,13.3,19.3,12.5,19.9,26.6,27.9,24.9,9.2,14.7
1999,Febrero,15,13,18.8,12.5,20.9,26.6,27.1,25.5,8.9,15
1999,Marzo,14.4,12.8,18.1,11.7,19.9,26,26.8,25.1,8.3,14.4
1999,Abril,13.7,12.3,18.2,10.3,16.3,23.3,,,7.4,13.7
1999,Mayo,13.2,11.8,16.4,6.1,14.8,21.7,23.1,23.6,6.4,13.2
1999,Junio,11.5,10.8,14,3,11.8,20.2,22.5,22.7,4.5,11.5
1999,Julio,11.5,10.3,14.4,4.5,12.1,18.9,24.8,22.4,4.2,11.5
1999,Agosto,13,,15.9,6.1,14.7,22.5,24.8,23.4,5.2,13
1999,Septiembre,14,12.1,17.3,7.8,19.1,27.1,24.1,26.1,6.2,14
1999,Octubre,14.1,12.3,19.2,11,17.8,26.2,26.5,25.8,7.2,14.1
1999,Noviembre,14.3,13.6,19.8,10.6,18,26.9,26.5,24.5,8.8,14.3
1999,Diciembre,15.4,14.1,20.3,11.6,20.2,26,26,24.9,9.3,15.4
2000,Enero ,14.9,13,19.1,12.2,20.8,27.5,26.5,26.1,8.8,14.9
2000,Febrero,15.2,13.2,18.8,11.7,20.3,26.9,27.3,26,8.7,15.2
2000,Marzo,14.3,13.8,19,11.9,19.9,25.2,26.7,25.8,8.9,14.3
2000,Abril,14.6,13.6,18.5,10.4,19.3,25.3,25.4,26,8.3,14.6
2000,Mayo,13.5,12.6,16.8,6.8,14.8,21.5,24.7,25,6.5,13.5
2000,Junio,12.5,10.4,14,3.6,14.1,21.2,22.9,23.3,4.7,12.5
2000,Julio,11.3,9.8,13.4,2.2,10.8,18.2,22.2,21.7,,11.3
2000,Agosto,13.4,11.5,16.5,6,16.3,23.3,23.3,25.5,5.9,13.4
2000,Septiembre,13.8,13.2,18.1,7.8,16.4,23.5,26.7,25.4,7,13.8
2000,Octubre,15.3,12.6,19.8,10.9,20.8,26.4,26.3,26.3,7.8,15.3
2000,Noviembre,15.3,14.9,20.4,10.5,20.1,25.7,25.8,26.1,9.2,15.3
2000,Diciembre,15.5,13.4,19.5,11.6,21.4,25.4,26.4,26.7,8.6,15.5
2001,Enero ,14.5,11.8,17.5,11.3,21.3,26.3,27.3,25.4,7.7,14.5
2001,Febrero,14.4,12.5,18.7,11.8,20.9,27.2,26.7,26.2,8.3,14.4
2001,Marzo,14.1,13,18,11.5,,,26.5,,,14.1
2001,Abril,14.6,13.3,18.3,10.4,18.4,24.5,26.7,26.3,7.4,14.6
2001,Mayo,12.9,12.1,16.1,6.1,14.4,20.5,24.4,24,5.9,12.9
2001,Junio,12.6,11.1,14.5,4.9,12.8,20,,22.4,4.8,12.6
2001,Julio,12.1,10.9,14.3,3.6,14,21.9,20.4,24.4,4.2,12.1
2001,Agosto,12.9,10.6,16,6.7,18,24.3,,26.6,5.2,12.9
2001,Septiembre,15,12.6,18.5,8.8,18.5,24.6,25.2,27,7.4,15
2001,Octubre,15.8,13.3,20,10.6,20.1,26.2,,27.3,8.4,15.8
2001,Noviembre,17.2,15.2,22,12.5,21.3,25.5,,26.8,10.3,17.2
2001,Diciembre,15.5,13.8,20,12.4,20,26.8,,26.2,9.1,15.5
2002,Enero ,15.8,14,20.8,13.1,21.4,27.7,26.3,26.8,9.1,15.8
2002,Febrero,14.6,13.3,19.7,12.4,20.2,25.5,27,26.3,9.2,14.6
2002,Marzo,15.8,13.5,19.4,11.9,22,26.1,26.8,26.6,9.1,15.8
2002,Abril,14.8,12.7,18.6,10.7,19.6,24.4,26.8,26.2,7.7,14.8
2002,Mayo,14.5,12.4,17,7.7,17.7,23.8,23.1,25.8,6.7,14.5
